CustomerID,Age,Gender,AnnualIncome,SpendingScore,PurchaseFrequency,TotalSpend,LoyaltyYears
1076,41,Male,136381,67,40,49392,8
1077,43,Male,99909,10,46,33227,14
1078,42,Female,67333,43,43,35514,2
1079,58,Female,23436,57,40,28877,11
1080,46,Male,94290,98,15,41057,13
1081,32,Female,96213,10,32,31181,5
1082,18,Female,25895,25,6,13994,7
1083,42,Female,39738,70,36,33767,8
1084,24,Female,50746,73,24,36695,1
1085,26,Female,69377,72,30,35855,6
1086,41,Male,68404,78,44,41437,1
1087,18,Female,74045,31,12,24325,2
1088,25,Male,117888,76,19,36522,15
1089,41,Male,149307,85,48,51182,1
1090,28,Female,59790,35,13,22828,11
1091,34,Male,127455,25,10,25114,5
1092,25,Male,25600,60,11,22240,10
1093,52,Male,114660,95,45,52356,15
1094,52,Female,113179,66,18,35785,9
1095,50,Female,60764,38,39,29296,6
1096,22,Male,94543,87,8,34330,11
1097,59,Female,65714,78,47,42881,11
1098,56,Female,76835,56,14,27087,1
1099,58,Female,122946,71,41,44782,13
1100,45,Female,148191,78,43,50970,1
1101,24,Male,129616,85,10,34047,2
1102,26,Male,125983,25,51,40930,9
1103,25,Female,93744,99,28,46775,3
1104,29,Female,76491,99,3,34767,15
1105,51,Male,144123,57,6,34238,1
1106,50,Male,38589,94,30,39315,5
1107,40,Female,63484,48,38,31108,7
1108,41,Male,102989,42,39,35177,6
1109,54,Female,56212,32,20,23066,12
1110,52,Female,63525,19,9,16042,1
1111,57,Male,67202,78,49,49823,5
1112,39,Male,52635,43,46,37215,15
1113,44,Female,83208,61,2,28267,5
1114,52,Female,53828,19,23,17355,6
1115,18,Male,38711,28,18,16534,3
1116,52,Female,23420,67,8,19855,5
1117,54,Male,116752,10,26,26310,7
1118,31,Female,20301,78,46,31184,5
1119,20,Male,65236,13,5,11682,5
1120,18,Male,135294,25,37,34668,5
1121,22,Male,137858,33,7,23432,10
1122,43,Female,86235,89,32,45793,10
1123,31,Female,74240,11,20,15811,3
1124,56,Male,144019,41,45,43952,1
1125,44,Female,85726,100,40,56247,5
1126,26,Male,30492,93,28,32682,14
1127,32,Male,135668,33,11,28009,9
1128,32,Female,121279,21,27,28235,14
1129,43,Female,26102,59,20,23377,1
1130,59,Male,70336,44,40,35341,3
1131,30,Female,138015,42,4,31228,13
1132,49,Female,105314,42,46,41167,13
1133,56,Male,143007,70,14,37752,4
1134,49,Male,46641,60,51,44532,14
1135,21,Female,54584,52,29,25274,1
1136,47,Male,52745,21,21,16348,1
1137,54,Male,140542,76,29,46439,8
1138,40,Female,43093,74,9,27045,2
1139,56,Male,86105,42,42,36753,12
1140,32,Male,123746,49,40,45050,15
1141,60,Female,120199,83,2,35574,8
1142,46,Female,71885,52,4,23311,7
1143,53,Male,56631,53,14,23459,10
1144,30,Male,131217,38,29,36867,10
1145,49,Female,92991,22,50,33363,2
1146,24,Female,24014,21,26,16434,6
1147,39,Female,31093,55,34,30740,6
1148,45,Female,38070,11,39,23556,3
1149,19,Male,55777,44,7,14623,11
1150,59,Female,76958,96,45,49887,2
